Division,Subcategory,Service,Description,Setup / One-time (IDR),Monthly / Annual (IDR),Notes,Source
Divisi 1 - Website & Pengembangan Sistem,Jenis Website,Halaman Arahan / Profil Perusahaan,Situs web 1 halaman untuk promosi merek/jasa/bisnis lokal,Rp 350.000,Rp 150.000/bulan,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 1 - Website & Pengembangan Sistem,Jenis Website,Situs Web Multi Halaman (Profesional),"4–6 halaman (Beranda, Tentang, Layanan, Galeri, Blog, Kontak) + dasar SEO",Rp 750.000,Rp 250.000/bulan,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 1 - Website & Pengembangan Sistem,Jenis Website,Situs Web Toko Online (E-Commerce),"Katalog produk, sistem belanja, gateway pembayaran, laporan transaksi",Rp 1.500.000,Rp 350.000/bulan,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 1 - Website & Pengembangan Sistem,Jenis Website,Website Custom / Sistem Web App,"Fitur sesuai kebutuhan (CRM, ERP, POS, HRIS, portal klien, pemesanan)",Mulai Rp 2.000.000,Rp 500.000–1.000.000/bulan,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 1 - Website & Pengembangan Sistem,Jenis Website,Website Sekolah / Lembaga / Yayasan,"Profil lembaga, berita, data guru/siswa, sistem nilai & pengumuman",Rp 1.200.000,Rp 400.000/bulan,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 1 - Website & Pengembangan Sistem,Jenis Website,Portofolio / Personal Branding Website,"Desain modern untuk influencer, desainer, fotografer, konsultan, dll",Rp 700.000,Rp 200.000/bulan,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 1 - Website & Pengembangan Sistem,Jenis Website,Website AI & Otomasi Bisnis,"Website cerdas dengan chatbot AI, CRM, & analitik dasbor",Rp 2.500.000,Rp 450.000/bulan,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 1 - Website & Pengembangan Sistem,Fitur Standar,Paket fitur standar,"Responsive, SEO dasar, SSL & keamanan, domain+hosting, Google Maps & WA, email bisnis, integrasi sosmed, maintenance & support",,,Termasuk pada semua paket website,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 1 - Website & Pengembangan Sistem,Add-On,Optimasi Kecepatan Website,Peningkatan kinerja (GTMetrix A+ / PageSpeed 90+),Rp 200.000,,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 1 - Website & Pengembangan Sistem,Add-On,Pengaturan SSL & Keamanan,"Firewall, anti-hack, proteksi malware, backup harian",Rp 150.000,,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 1 - Website & Pengembangan Sistem,Add-On,Spesialis SEO (Premium),"Riset kata kunci, on/off page, backlink, laporan bulanan",,Rp 600.000/bulan,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 1 - Website & Pengembangan Sistem,Add-On,Google My Business (Lokal),Pengaturan lokasi + optimasi lokal,Rp 250.000,,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 1 - Website & Pengembangan Sistem,Add-On,Gateway Pembayaran,"Integrasi Midtrans, Xendit, DOKU, Tripay, dll",Rp 250.000,,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 1 - Website & Pengembangan Sistem,Add-On,Chatbot WhatsApp / Chatbot AI,Balasan otomatis 24 jam,,Rp 200.000/bulan,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 1 - Website & Pengembangan Sistem,Add-On,Dasbor Admin / Klien / Penjualan,Sistem login multi-user & monitoring data,Rp 500.000,,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 1 - Website & Pengembangan Sistem,Add-On,Sistem CRM (Pelanggan Kelola),"Manajemen pelanggan, prospek, follow-up otomatis",Rp 400.000,,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 1 - Website & Pengembangan Sistem,Paket Kombinasi,Startup Go Digital,Website Dasar + Domain + SEO Dasar + Tautan WhatsApp,,Rp 200.000/bulan,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 1 - Website & Pengembangan Sistem,Paket Kombinasi,Bisnis Naik Level,Website Pro + SEO + Copywriting + Iklan Meta + Laporan,,Rp 400.000/bulan,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 1 - Website & Pengembangan Sistem,Paket Kombinasi,Sistem AI Digital,Website Kustom + CRM + Chatbot AI + Laporan Pemasaran,,Rp 600.000/bulan,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 1 - Website & Pengembangan Sistem,Paket Kombinasi,Pertumbuhan E-Commerce,Toko Online + Payment Gateway + Iklan + Maintenance,,Rp 500.000/bulan,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 2 - Digital Marketing & Traffic Growth,Layanan Utama,Optimasi SEO (Dasar),Meningkatkan peringkat website di Google,,Rp 200.000/bulan,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 2 - Digital Marketing & Traffic Growth,Layanan Utama,Optimasi SEO (Premium),"Riset kata kunci, on/off page, backlink, laporan bulanan",,Rp 600.000/bulan,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 2 - Digital Marketing & Traffic Growth,Layanan Utama,Manajemen Iklan Google,"Search, Display, Remarketing (termasuk setup & laporan)",,Mulai Rp 400.000/bulan,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 2 - Digital Marketing & Traffic Growth,Layanan Utama,Meta Ads (Facebook & Instagram),"Strategi, eksekusi, optimasi, laporan",,Rp 400.000/bulan,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 2 - Digital Marketing & Traffic Growth,Layanan Utama,Manajemen Iklan TikTok,Strategi konten hingga laporan konversi,,Rp 400.000/bulan,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 2 - Digital Marketing & Traffic Growth,Layanan Utama,Google My Business (Lokal),Optimasi kata kunci lokal & ulasan,Rp 250.000,,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 2 - Digital Marketing & Traffic Growth,Layanan Utama,WhatsApp Blast (Siaran Massal),Sistem kirim massal ke ribuan nomor,,Rp 250.000/bulan,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 2 - Digital Marketing & Traffic Growth,Layanan Utama,Otomatisasi Pemasaran Email,Email promo otomatis + segmentasi,,Rp 200.000/bulan,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 2 - Digital Marketing & Traffic Growth,Layanan Utama,Retargeting / Remarketing,Menarget audiens yang pernah berinteraksi,,Rp 300.000/bulan,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 2 - Digital Marketing & Traffic Growth,Strategi & Optimasi,Rencana Pertumbuhan Lalu Lintas,"Kombinasi SEO, iklan, & konten sosial",,Rp 500.000/bulan,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 2 - Digital Marketing & Traffic Growth,Strategi & Optimasi,Riset Kata Kunci & Pesaing,Analisis pesaing & kata kunci terbaik,Rp 200.000,,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 2 - Digital Marketing & Traffic Growth,Strategi & Optimasi,Penargetan Audiens AI,Segmentasi audiens berbasis AI,Rp 300.000,,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 2 - Digital Marketing & Traffic Growth,Strategi & Optimasi,Perencanaan Kampanye (3 Bulan),Rencana strategi digital 3 bulan,Rp 400.000,,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 2 - Digital Marketing & Traffic Growth,Strategi & Optimasi,Kampanye Kesadaran Merek,Membangun popularitas & kepercayaan brand,,Rp 500.000/bulan,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 2 - Digital Marketing & Traffic Growth,Paket Iklan,Paket Iklan Pemula,Meta Ads + Copywriting + Laporan,,Rp 400.000/bulan,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 2 - Digital Marketing & Traffic Growth,Paket Iklan,Paket Iklan Pertumbuhan,Meta Ads + Google Ads + SEO Dasar + Laporan,,Rp 750.000/bulan,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 2 - Digital Marketing & Traffic Growth,Paket Iklan,Paket Pemasaran Cerdas AI,Meta + TikTok + Retargeting + WhatsApp Blast + Integrasi CRM,,Rp 1.000.000/bulan,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 2 - Digital Marketing & Traffic Growth,Paket Iklan,Paket Bisnis Lokal,Google Bisnisku + SEO Lokal + WA Link,,Rp 300.000/bulan,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 2 - Digital Marketing & Traffic Growth,Paket Iklan,Penguat Lalu Lintas E-Commerce,Produk SEO + TikTok Ads + Google Shopping,,Rp 800.000/bulan,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 2 - Digital Marketing & Traffic Growth,Layanan Konten,Halaman Arahan Copywriting,Copy untuk landing page,Rp 150.000/halaman,,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 2 - Digital Marketing & Traffic Growth,Layanan Konten,Paket Pembuat Konten,"Foto produk, video reels, caption, strategi",Rp 500.000 – 1.000.000,/bulan,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 2 - Digital Marketing & Traffic Growth,Layanan Konten,Manajemen Media Sosial,"Kelola IG/FB, jadwal konten, interaksi",,Rp 400.000/bulan,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 2 - Digital Marketing & Traffic Growth,Layanan Konten,Perencana Konten (Bulanan),Kalender konten 30 hari,,Rp 200.000/bulan,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 2 - Digital Marketing & Traffic Growth,Layanan Konten,Iklan Banner & Desain Promosi,Desain feed/story/carousel/banner,Rp 100.000–300.000/set,,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 3 - Otomasi & Sistem AI,Layanan Utama,Chatbot AI (WA / Web / IG),Chatbot pintar untuk otomatisasi respon & promo,,Basic Rp 300.000/bln; Premium Rp 600.000/bln,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 3 - Otomasi & Sistem AI,Layanan Utama,Sistem CRM,"Pengelolaan pelanggan, tindak lanjut otomatis",Basic Rp 500.000,Custom Rp 1.000.000,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 3 - Otomasi & Sistem AI,Layanan Utama,WhatsApp Blast Otomatis,Kirim massal otomatis,,Rp 250.000/bulan,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 3 - Otomasi & Sistem AI,Layanan Utama,Sistem Otomatisasi Email,Email promosi/ notifikasi otomatis,,Rp 200.000/bulan,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 3 - Otomasi & Sistem AI,Layanan Utama,Dasbor Bisnis AI,Dashboard data penjualan/trafik/lead,Rp 500.000 – 1.000.000,,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 3 - Otomasi & Sistem AI,Layanan Utama,Integrasi Web+CRM+Chatbot,Konversi lead otomatis ke CRM,Rp 800.000,,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 3 - Otomasi & Sistem AI,Layanan Utama,Lead Nurturing Otomatis,Tindak lanjut prospek otomatis,,Rp 300.000/bulan,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 3 - Otomasi & Sistem AI,Layanan Utama,Otomatisasi Pemesanan/Janji Temu,Sistem reservasi/booking otomatis,Rp 250.000,,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 3 - Otomasi & Sistem AI,Add-On,Pelatihan Asisten AI (Chatbot),Kustomisasi gaya bicara & pengetahuan,Rp 250.000 (setup),,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 3 - Otomasi & Sistem AI,Add-On,Integrasi API,"Google Sheet, Website, Meta, WooCommerce, dll",Rp 300.000–800.000,,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 3 - Otomasi & Sistem AI,Add-On,Peramalan Penjualan AI,Prediksi penjualan berbasis AI,,Rp 500.000/bulan,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 3 - Otomasi & Sistem AI,Add-On,Distribusi Prospek Otomatis,Auto assignment ke tim sales,,Rp 250.000/bulan,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 3 - Otomasi & Sistem AI,Add-On,Dasbor Obrolan Multi-Agen,Tampilan chat untuk tim support,,Rp 300.000/bulan,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 3 - Otomasi & Sistem AI,Add-On,Keamanan & Backup Data,Backup otomatis + enkripsi,,Rp 200.000/bulan,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 3 - Otomasi & Sistem AI,Paket Kombinasi,Paket Pemula Otomatisasi,Chatbot AI + WhatsApp Blast + CRM Dasar,,Rp 700.000/bulan,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 3 - Otomasi & Sistem AI,Paket Kombinasi,Paket Bisnis Cerdas AI,CRM + Chatbot Premium + Dasbor Analitik,,Rp 1.200.000/bulan,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 3 - Otomasi & Sistem AI,Paket Kombinasi,Paket Pendorong Penjualan,Lead nurturing + CRM + pengingat pembayaran,,Rp 900.000/bulan,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 3 - Otomasi & Sistem AI,Paket Kombinasi,Paket Otomatisasi E-Commerce,Produk Chatbot + Integrasi Website + Faktur Otomatis,,Rp 1.000.000/bulan,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 3 - Otomasi & Sistem AI,Paket Kombinasi,Paket Otomasi Perusahaan,AI lengkap + CRM + Dasbor + API + Backup,,Rp 2.000.000/bulan,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 4 - Branding & Desain Kreatif,Layanan Utama,Desain Logo (Identitas Merek),3 konsep & revisi sampai puas,Basic: Rp 250.000; Premium: Rp 500.000,,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 4 - Branding & Desain Kreatif,Layanan Utama,Buku/Pedoman Brand,Brand guidelines lengkap,Rp 600.000–1.000.000,,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 4 - Branding & Desain Kreatif,Layanan Utama,Rebranding & Redesign Logo Lama,Penyegaran visual logo,Rp 350.000,,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 4 - Branding & Desain Kreatif,Layanan Utama,Stationery Set,"Kartu nama, kop surat, amplop, dll",Rp 250.000–400.000/set,,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 4 - Branding & Desain Kreatif,Layanan Utama,Template Feed & Story IG,Desain feed/story bulanan,Rp 300.000–500.000,/bulan,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 4 - Branding & Desain Kreatif,Layanan Utama,Desain Kemasan,"Label, box, pouch, dsb",Rp 350.000–800.000/desain,,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 4 - Branding & Desain Kreatif,Layanan Utama,Banner/Brosur/Flyer/Poster,Cetak/digital,Rp 150.000–400.000/desain,,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 4 - Branding & Desain Kreatif,Layanan Utama,Desain Profil Perusahaan,Company profile PDF/cetak,Rp 500.000–1.200.000,,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 4 - Branding & Desain Kreatif,Paket,Paket Branding Dasar,Logo + Kartu Nama + Banner Promosi,Rp 400.000,,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 4 - Branding & Desain Kreatif,Paket,Kit Merek Profesional,Logo + Brand Guide + Stationery + Template Feed,Rp 800.000,,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 4 - Branding & Desain Kreatif,Paket,Paket Identitas Perusahaan Premium,Logo + Brand Guide + Company Profile + Brosur + Mockup,Rp 1.500.000,,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 4 - Branding & Desain Kreatif,Paket,Paket Branding Produk,Logo + Kemasan + Banner + Katalog Produk,Rp 1.000.000,,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 4 - Branding & Desain Kreatif,Paket,Paket Rebranding & Penyegaran,Modernisasi visual + tone & style,Rp 900.000,,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 4 - Branding & Desain Kreatif,Tambahan,Video Reel / Promo Produk,Durasi 15–60 detik,Rp 300.000–700.000/video,,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 4 - Branding & Desain Kreatif,Tambahan,Brand Voice & Copywriting,Panduan suara merek,Rp 200.000,,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 4 - Branding & Desain Kreatif,Tambahan,Produk Mockup (3D Preview),Mockup produk,Rp 150.000/mockup,,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 4 - Branding & Desain Kreatif,Tambahan,Pemotretan Mini,5–10 foto per sesi,Rp 400.000–800.000/sesi,,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 4 - Branding & Desain Kreatif,Tambahan,Iklan Banner Digital,"Google, Meta, TikTok",Rp 150.000–300.000/set,,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 4 - Branding & Desain Kreatif,Tambahan,Desain Merchandise,"Kaos, tote-bag, mug",Rp 250.000–400.000/desain,,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 4 - Branding & Desain Kreatif,Tambahan,Audit Merek & Analisis Posisi,Audit & rekomendasi,Rp 300.000,,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 4 - Branding & Desain Kreatif,Tambahan,Konsultasi Branding (1 jam),Via Zoom,Rp 150.000/sesi,,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 4 - Branding & Desain Kreatif,Tambahan,Dokumen Strategi Merek,Dokumen strategi tertulis,Rp 500.000,,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 5 - Konten & Copywriting,Layanan,Landing Page Copywriting,Copy landing page,Rp 150.000/halaman,,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 5 - Konten & Copywriting,Layanan,Artikel SEO (500–700 kata),Artikel SEO,Rp 75.000/artikel,,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 5 - Konten & Copywriting,Layanan,Artikel SEO (1000–1500 kata),Artikel SEO mendalam,Rp 120.000/artikel,,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 5 - Konten & Copywriting,Layanan,Caption Media Sosial,Per caption / paket 30 caption,Rp 10.000/caption,Rp 250.000/30 caption,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 5 - Konten & Copywriting,Layanan,Copywriting Iklan (Meta/Google/TikTok),Teks untuk kampanye,Rp 150.000/kampanye,,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
