Division,Subcategory,Service,Description,Setup / One-time (IDR),Monthly / Annual (IDR),Notes,Source
Divisi 5 - Konten & Copywriting,Layanan,Deskripsi Produk E-commerce,Per produk / paket 30,Rp 15.000/produk,Rp 300.000/30 produk,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 5 - Konten & Copywriting,Layanan,Penulisan Profil Perusahaan,Company profile text,Rp 300.000–600.000,,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 5 - Konten & Copywriting,Layanan,Email Marketing Copy,Per email / paket 5 email,Rp 100.000/email,Rp 250.000/5 email,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 5 - Konten & Copywriting,Paket,Paket Konten Dasar,5 artikel SEO + 10 caption IG,Rp 400.000,,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 5 - Konten & Copywriting,Paket,Paket Pertumbuhan Bisnis,10 artikel + 20 caption + copy iklan,Rp 700.000,,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 5 - Konten & Copywriting,Paket,Paket Konten Merek Lengkap,15 artikel + 30 caption + 2 landing page,Rp 1.200.000,,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 5 - Konten & Copywriting,Paket,Paket Strategi Konten Premium,Riset + planning + 10 artikel + analitik,Rp 1.000.000,,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 5 - Konten & Copywriting,Paket,Paket Salinan E-Commerce,50 deskripsi produk + copy iklan + banner text,Rp 700.000,,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 5 - Konten & Copywriting,Add-On,Riset Kata Kunci SEO,Keyword research,Rp 150.000,,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 5 - Konten & Copywriting,Add-On,Optimasi SEO Artikel On-Page,Optimasi 10 artikel,,Rp 100.000/10 artikel,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 5 - Konten & Copywriting,Add-On,Desain Konten Visual,Canva/Feed IG,,Rp 250.000/bulan,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 5 - Konten & Copywriting,Add-On,Optimasi Konten AI,Optimasi berbantuan AI,,Rp 100.000/bulan,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 5 - Konten & Copywriting,Add-On,Kalender Editorial (3 bulan),Perencanaan 3 bulan,Rp 400.000,,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
"Divisi 6 - Data, Analitik & Optimasi",Layanan,Setup & Pelaporan GA4,Setup + reporting,Rp 250.000,,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
"Divisi 6 - Data, Analitik & Optimasi",Layanan,"Pelacakan Konversi (Meta Pixel, TikTok, GTM)",Tracking & events,Rp 200.000,,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
"Divisi 6 - Data, Analitik & Optimasi",Layanan,Dasbor Insight Bisnis,Data Studio / Power BI,Rp 500.000–1.000.000,,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
"Divisi 6 - Data, Analitik & Optimasi",Layanan,Analisis Bisnis AI,"Prediksi, tren",,Rp 800.000/bulan,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
"Divisi 6 - Data, Analitik & Optimasi",Layanan,Audit Optimasi Kinerja,Audit menyeluruh,Rp 400.000,,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
"Divisi 6 - Data, Analitik & Optimasi",Layanan,A/B Testing & CRO,Eksperimen & optimasi konversi,,Rp 300.000/bulan,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
"Divisi 6 - Data, Analitik & Optimasi",Analitik Data,Analisis Perilaku Pelanggan,Customer behavior analysis,Rp 400.000,,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
"Divisi 6 - Data, Analitik & Optimasi",Analitik Data,Pelacakan Corong Penjualan,Funnel tracking,Rp 300.000,,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
"Divisi 6 - Data, Analitik & Optimasi",Analitik Data,Heatmap & Journey Mapping,Analisis interaksi pengguna,Rp 400.000,,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
"Divisi 6 - Data, Analitik & Optimasi",Analitik Data,Analisis Prediktif,Prediksi berbasis data,,Rp 600.000/bulan,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
"Divisi 6 - Data, Analitik & Optimasi",Analitik Data,Analisis ROI & Efisiensi Biaya,ROI analysis,Rp 250.000,,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
"Divisi 6 - Data, Analitik & Optimasi",Optimasi,Optimasi SEO (Lanjutan),Advanced SEO optimization,,Rp 300.000/bulan,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
"Divisi 6 - Data, Analitik & Optimasi",Optimasi,"Optimasi Iklan (Meta, Google, TikTok)",Ad optimization,,Rp 350.000/bulan,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
"Divisi 6 - Data, Analitik & Optimasi",Optimasi,Optimasi Konversi Website,CRO website,,Rp 400.000/bulan,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
"Divisi 6 - Data, Analitik & Optimasi",Optimasi,Penganalisis Kinerja Konten AI,Content performance analyzer,,Rp 200.000/bulan,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
"Divisi 6 - Data, Analitik & Optimasi",Optimasi,Rencana Strategi Data (3 bulan),Strategy plan,Rp 500.000,,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
"Divisi 7 - Legalitas, Domain & Infrastruktur",Layanan,Pendaftaran Domain (.com/.id/.net),Domain registration,,Rp 150.000–300.000/tahun,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
"Divisi 7 - Legalitas, Domain & Infrastruktur",Layanan,Hosting Website (Shared/Cloud/VPS),Hosting management,,Rp 150.000–500.000/tahun,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
"Divisi 7 - Legalitas, Domain & Infrastruktur",Layanan,Sertifikat SSL (HTTPS),Setup & renewal,,Rp 100.000–250.000/tahun,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
"Divisi 7 - Legalitas, Domain & Infrastruktur",Layanan,Manajemen & Optimasi Server,"cPanel, Plesk, Cloudflare",Rp 300.000–800.000,,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
"Divisi 7 - Legalitas, Domain & Infrastruktur",Layanan,Penerapan Cloud,AWS / Google Cloud / DigitalOcean,Rp 700.000–1.200.000,,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
"Divisi 7 - Legalitas, Domain & Infrastruktur",Layanan,Backup & Recovery,Sistem cadangan & pemulihan,,Rp 150.000/bulan,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
"Divisi 7 - Legalitas, Domain & Infrastruktur",Layanan,Email Bisnis,Email @domain,,Rp 100.000–200.000/akun/tahun,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
"Divisi 7 - Legalitas, Domain & Infrastruktur",Layanan,Migrasi Website,Migrasi situs,Rp 250.000,,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
"Divisi 7 - Legalitas, Domain & Infrastruktur",Layanan,Firewall & Anti-DDoS,Keamanan jaringan,Rp 300.000–600.000,,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
"Divisi 7 - Legalitas, Domain & Infrastruktur",Layanan,Pemantauan Keamanan 24 jam,Monitoring keamanan,,Rp 200.000/bulan,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
"Divisi 7 - Legalitas, Domain & Infrastruktur",Layanan,Pembersihan Malware & Virus,Cleanup insiden,Rp 250.000–500.000,,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
"Divisi 7 - Legalitas, Domain & Infrastruktur",Layanan,Perlindungan Brute Force,Anti brute force,Rp 150.000,,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
"Divisi 7 - Legalitas, Domain & Infrastruktur",Layanan,Audit & Penguatan Keamanan,Security hardening,Rp 400.000–800.000,,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
"Divisi 7 - Legalitas, Domain & Infrastruktur",Legalitas,Pembuatan NIB,Nomor Induk Berusaha,Rp 350.000,,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
"Divisi 7 - Legalitas, Domain & Infrastruktur",Legalitas,Legalitas Bisnis Online,E-Commerce / Freelancer / Agensi,Rp 500.000–1.000.000,,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
"Divisi 7 - Legalitas, Domain & Infrastruktur",Legalitas,Kebijakan Privasi & Ketentuan,Generator dokumen,Rp 150.000,,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
"Divisi 7 - Legalitas, Domain & Infrastruktur",Legalitas,Pendaftaran Merek Dagang (Konsultasi),Bantuan proses,Rp 1.000.000–2.500.000,,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
"Divisi 7 - Legalitas, Domain & Infrastruktur",Legalitas,Draft Perjanjian Kerja Sama / Vendor / Reseller,Pembuatan draf,Rp 300.000–800.000,,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
"Divisi 7 - Legalitas, Domain & Infrastruktur",Legalitas,Pembuatan PT / CV / Yayasan Digital,Registrasi badan usaha,Rp 1.500.000–3.000.000,,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
"Divisi 7 - Legalitas, Domain & Infrastruktur",Paket,Paket Web Pemula,Domain .com + Hosting Dasar + SSL,Rp 350.000/tahun,,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
"Divisi 7 - Legalitas, Domain & Infrastruktur",Paket,Paket Web Aman,Domain .com + Hosting + SSL + Backup + Scan Keamanan,Rp 550.000/tahun,,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
"Divisi 7 - Legalitas, Domain & Infrastruktur",Paket,Paket Cloud Bisnis,Domain .id + Cloud Hosting + SSL + Email Bisnis + Firewall,Rp 900.000/tahun,,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
"Divisi 7 - Legalitas, Domain & Infrastruktur",Paket,Paket Keamanan Pro,Firewall + Monitoring Real-time + Backup + Audit,Rp 600.000/tahun,,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
"Divisi 7 - Legalitas, Domain & Infrastruktur",Paket,Paket Infrastruktur + Hukum Lengkap,Domain + Hosting + SSL + NIB + Dokumen Hukum,Rp 1.000.000–1.500.000/tahun,,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 8 - Layanan Klien & CX,Layanan,Pusat Dukungan Pelanggan,Sistem chat & tiket,,Rp 250.000/bulan,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 8 - Layanan Klien & CX,Layanan,Chatbot Otomatis (Dukungan AI),Dukungan AI,Rp 300.000–700.000,,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 8 - Layanan Klien & CX,Layanan,Dukungan Purna Jual & Pemeliharaan,Support berkelanjutan,,Rp 200.000/bulan,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 8 - Layanan Klien & CX,Layanan,Sistem Tiket & Tracking,Sistem pelacakan klien,Rp 250.000,,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 8 - Layanan Klien & CX,Layanan,Konsultasi & Strategi Bisnis Digital (1-on-1),Sesi konsultasi,Rp 300.000/sesi,,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 8 - Layanan Klien & CX,Layanan,Program Orientasi Klien,Onboarding,Rp 150.000–300.000,,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 8 - Layanan Klien & CX,Layanan,Sistem Loyalitas & Rewards,Poin & cashback,Rp 500.000–1.000.000,,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 8 - Layanan Klien & CX,Sistem,CRM,Manajemen pelanggan,Rp 400.000–800.000,,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 8 - Layanan Klien & CX,Sistem,WhatsApp Blast,Siaran otomatis,,Rp 250.000/bulan,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 8 - Layanan Klien & CX,Sistem,Otomatisasi Email,"Follow-up, promo, reminder",,Rp 200.000/bulan,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 8 - Layanan Klien & CX,Sistem,Sistem Respons AI,Chat & email AI,,Rp 350.000/bulan,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 8 - Layanan Klien & CX,Sistem,Sistem Umpan Balik & Rating,Feedback system,Rp 150.000,,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 8 - Layanan Klien & CX,Monitoring & Analitik,Dasbor Pengalaman Pelanggan,Customer experience dashboard,Rp 500.000–800.000,,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 8 - Layanan Klien & CX,Monitoring & Analitik,Wawasan Data Pelanggan,Perilaku & retensi,,Rp 400.000/bulan,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 8 - Layanan Klien & CX,Monitoring & Analitik,Laporan Churn & Loyalitas,Pelaporan bulanan,,Rp 300.000/bulan,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 8 - Layanan Klien & CX,Monitoring & Analitik,Analisis Sentimen AI,Analisis sentimen pelanggan,,Rp 400.000/bulan,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 8 - Layanan Klien & CX,Paket,Paket Dukungan Dasar,Tiket + Chat + Laporan,,Rp 350.000/bulan,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 8 - Layanan Klien & CX,Paket,Paket Dukungan AI,Chatbot + Email Otomatis + CRM,,Rp 800.000/bulan,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 8 - Layanan Klien & CX,Paket,Paket Wawasan CX,Dasbor + Sentimen AI + Loyalitas,,Rp 1.000.000/bulan,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 8 - Layanan Klien & CX,Paket,Paket Pelanggan Premium,Support penuh + CRM + Chatbot + AI + Loyalty,,Rp 1.800.000/bulan,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 9 - Edukasi & Pelatihan,Layanan,Digital Marketing 101,Pelatihan dasar,Rp 350.000/sesi,,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 9 - Edukasi & Pelatihan,Layanan,Workshop AI Tools & Otomasi,Workshop praktik,Rp 500.000/sesi,,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 9 - Edukasi & Pelatihan,Layanan,Manajemen Website & CMS,Pelatihan CMS,Rp 300.000/sesi,,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 9 - Edukasi & Pelatihan,Layanan,Strategi Pertumbuhan Bisnis Digital,UMKM & Startup,Rp 400.000/sesi,,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 9 - Edukasi & Pelatihan,Layanan,Data & Analitik Dasar,Pelatihan analitik,Rp 350.000/sesi,,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 9 - Edukasi & Pelatihan,Layanan,Pelatihan Tim Perusahaan,In-house training,Rp 1.000.000–2.500.000/sesi,,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 9 - Edukasi & Pelatihan,Layanan,Kelas Online Mandiri,E-learning,Rp 150.000/kursus,,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 9 - Edukasi & Pelatihan,Sertifikasi,Sertifikasi Pemasaran Digital,Sertifikasi profesional,Rp 250.000,,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 9 - Edukasi & Pelatihan,Sertifikasi,Sertifikasi Spesialis Otomasi AI,Sertifikasi spesialis,Rp 300.000,,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 9 - Edukasi & Pelatihan,Sertifikasi,Praktisi Data & Analisis,Sertifikasi,Rp 250.000,,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 9 - Edukasi & Pelatihan,Pendampingan,Program Pendampingan Bisnis 30 Hari,Mentoring 30 hari,Rp 1.000.000–1.500.000,,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 9 - Edukasi & Pelatihan,Add-On,Video Tutorial Kustom,Untuk klien,Rp 200.000–400.000,,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 9 - Edukasi & Pelatihan,Add-On,Bimbingan 1-on-1 (Zoom),Per jam,Rp 250.000/jam,,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 9 - Edukasi & Pelatihan,Add-On,Modul Pelatihan Kustom (Branded),Modul perusahaan,Rp 500.000–1.000.000,,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 9 - Edukasi & Pelatihan,Add-On,Rekaman & E-Sertifikat Otomatis,Recording + e-cert,Rp 100.000,,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 9 - Edukasi & Pelatihan,Paket,Paket Pembelajaran Dasar,2 sesi + e-sertifikat,Rp 500.000,,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 9 - Edukasi & Pelatihan,Paket,Paket Pembelajaran Bisnis Pro,4 sesi + mentoring 1-on-1,Rp 900.000,,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 9 - Edukasi & Pelatihan,Paket,Paket Produktivitas AI,Workshop AI + pendampingan 30 hari,Rp 1.200.000,,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
Divisi 9 - Edukasi & Pelatihan,Paket,Pelatihan Digital Perusahaan,Tim internal + modul khusus,Rp 2.500.000–3.500.000,,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
"Divisi 10 - Kemitraan, Lisensi & Reseller",Program,Situs Web Reseller Program,Pendaftaran awal,Rp 500.000,,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
"Divisi 10 - Kemitraan, Lisensi & Reseller",Program,Program Afiliasi Digital,Komisi 10–25%,Gratis pendaftaran,,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
"Divisi 10 - Kemitraan, Lisensi & Reseller",Program,Lisensi Produk Digital SITUNEO,Lisensi produk,Rp 1.000.000–3.000.000,,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
"Divisi 10 - Kemitraan, Lisensi & Reseller",Program,Kemitraan White Label,Branding ulang layanan,Rp 2.000.000–5.000.000,,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
"Divisi 10 - Kemitraan, Lisensi & Reseller",Program,Konsultan / Agen Wilayah,Mitra regional,Rp 5.000.000–10.000.000,,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
"Divisi 10 - Kemitraan, Lisensi & Reseller",Program,Mitra Korporat / Instansi,Negosiasi (custom pricing),,,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
"Divisi 10 - Kemitraan, Lisensi & Reseller",Add-On,Katalog Reseller & Media Kit,Bahan promosi,Rp 150.000,,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
"Divisi 10 - Kemitraan, Lisensi & Reseller",Add-On,Dasbor Reseller Online,Dashboard mitra,Rp 300.000,,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
"Divisi 10 - Kemitraan, Lisensi & Reseller",Add-On,Pelatihan Reseller / Orientasi,Per sesi,Rp 200.000/sesi,,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
"Divisi 10 - Kemitraan, Lisensi & Reseller",Add-On,Template Promosi (Canva / AI Copy),Akses template,Rp 100.000,,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
"Divisi 10 - Kemitraan, Lisensi & Reseller",Add-On,White Label Setup,Pengaturan sistem label putih,Rp 500.000–1.000.000,,,https://raw.githubusercontent.com/devintropers97-afk/PROJECT-SITUNEO/refs/heads/main/layanan
